gender,butt_height,buttock-knee_length,buttock-popliteal_length,crotch_height,knee_height_midpatella,knee_height_sitting,lateral-femoral_epicondyle_height,popliteal_height,stature,trochanterion_height,wrist_height
f,841,587,485,752,453,520,458,397,1666,855,816
f,731,547,456,673,390,452,398,344,1528,753,725
f,769,557,465,713,414,487,425,371,1567,800,763
f,956,656,545,881,509,575,514,443,1836,960,894
f,777,548,447,708,424,483,431,361,1546,805,728
f,799,549,441,714,405,476,415,352,1524,812,734
f,999,665,548,929,538,609,549,463,1836,1023,863
f,829,565,468,743,443,502,445,379,1626,853,806
f,784,564,469,712,416,475,431,358,1549,796,763
f,813,562,477,753,434,494,438,390,1632,823,754
f,854,595,499,804,462,527,475,408,1662,886,794
f,802,560,465,743,444,509,447,387,1621,838,790
f,837,575,488,785,463,517,471,398,1648,857,843
f,850,587,490,782,455,517,457,398,1633,880,794
f,797,559,455,741,427,502,453,388,1646,820,784
f,868,599,488,785,468,541,479,402,1727,901,843
f,818,585,473,746,430,513,440,355,1636,838,820
f,831,570,472,763,448,505,455,381,1626,854,838
f,808,563,464,733,416,488,433,359,1568,832,746
f,853,586,475,781,468,530,472,395,1617,881,776
f,812,585,487,725,410,486,416,350,1553,835,758
f,766,521,434,697,411,472,418,351,1535,806,716
f,867,580,489,784,451,513,463,406,1654,877,762
f,843,595,492,776,452,516,459,389,1656,871,809
f,767,527,442,708,404,458,415,357,1518,779,708
f,834,589,482,757,455,513,454,378,1642,865,815
f,832,576,458,767,466,531,473,393,1682,861,801
f,887,605,499,823,491,552,484,430,1700,910,797
f,780,532,425,684,402,470,413,353,1517,793,724
f,875,631,528,825,487,547,497,429,1645,897,762
f,869,614,522,791,463,527,477,394,1683,895,845
f,874,589,477,782,481,540,481,406,1663,897,784
f,867,585,490,812,464,522,473,416,1681,895,822
f,750,509,423,667,403,459,416,351,1541,771,743
f,831,587,487,772,445,505,451,390,1627,856,768
f,836,595,476,754,438,510,445,369,1655,865,801
f,793,563,467,732,434,489,439,366,1620,833,786
f,763,553,455,706,403,466,416,341,1505,781,725
f,945,646,532,819,508,578,516,437,1795,955,880
f,932,625,517,896,509,575,522,451,1808,960,864
f,865,580,477,779,460,515,459,395,1656,881,827
f,866,583,478,766,452,511,463,382,1657,880,810
f,848,591,500,774,443,506,448,390,1596,878,744
f,776,525,438,726,429,483,430,373,1548,797,737
f,825,568,450,753,449,511,446,370,1600,837,736
f,891,598,500,822,488,535,486,419,1675,912,801
f,825,599,504,759,452,520,460,395,1620,873,767
f,835,587,485,770,466,524,470,403,1595,872,761
f,826,557,463,738,437,497,443,371,1615,852,750
f,803,579,451,743,433,513,434,339,1623,820,788
f,846,580,465,762,432,505,447,373,1649,858,812
f,922,625,512,851,491,560,495,424,1706,938,814
f,852,576,478,786,437,516,459,398,1610,859,776
f,820,577,478,769,433,511,441,379,1599,842,760
f,895,585,476,825,500,557,503,428,1746,931,833
f,906,617,513,802,469,531,475,404,1612,912,752
f,838,571,490,764,446,505,448,390,1599,862,755
f,865,587,477,780,469,520,470,390,1650,880,774
f,862,599,495,770,477,528,475,395,1658,892,862
f,825,568,458,760,442,503,451,370,1557,836,767
f,835,583,476,775,454,510,456,378,1615,857,777
f,852,598,488,777,465,524,468,393,1633,871,800
f,857,601,497,754,453,517,460,387,1590,869,788
f,802,581,489,726,438,497,441,371,1583,823,783
f,813,578,476,761,438,512,454,372,1578,845,775
f,791,553,465,720,406,459,417,352,1590,793,770
f,842,554,456,761,462,514,472,411,1595,862,795
f,837,556,452,771,454,514,464,399,1543,847,732
f,832,581,480,748,443,503,452,377,1569,851,745
f,751,517,410,657,403,453,401,326,1450,761,690
f,884,600,497,820,485,542,491,414,1723,909,814
f,925,627,529,859,496,567,508,435,1732,950,857
f,832,576,477,753,452,508,457,398,1647,852,799
f,805,540,448,735,425,484,438,383,1502,817,723
f,908,633,524,851,490,542,488,417,1668,926,799
f,813,540,437,731,443,506,454,382,1524,835,742
f,913,610,517,825,492,544,491,418,1633,942,741
f,848,628,519,783,453,520,463,385,1615,862,734
f,819,568,464,732,452,503,449,378,1599,830,764
f,850,593,478,776,471,532,476,408,1609,883,751
f,870,610,497,822,497,555,497,430,1753,925,853
f,812,577,468,770,445,501,453,378,1673,829,824
f,884,598,470,840,490,564,500,421,1720,938,845
f,836,580,480,772,466,512,468,388,1553,865,741
f,803,565,454,719,440,503,448,372,1595,830,802
f,887,604,507,821,465,532,482,416,1690,908,842
f,754,524,426,668,404,461,418,358,1500,777,719
f,875,596,493,803,478,530,472,419,1656,898,790
f,856,588,478,801,470,541,483,405,1652,894,794
f,863,589,481,787,475,526,489,398,1648,885,802
f,919,638,537,857,502,552,502,427,1703,942,802
f,874,575,481,790,481,520,478,404,1613,893,787
f,815,596,482,763,451,508,440,366,1629,848,769
f,820,560,464,742,443,499,449,377,1608,838,817
f,822,563,463,754,441,503,448,376,1649,840,806
f,877,590,479,799,494,557,500,436,1712,899,805
f,866,590,494,758,459,510,452,378,1686,867,825
f,839,603,498,753,447,508,453,374,1635,844,772
f,861,580,475,765,467,519,470,394,1599,875,798
f,897,615,515,837,487,553,492,422,1691,928,794
f,847,588,477,745,436,500,444,367,1588,862,747
f,851,568,463,768,457,509,459,391,1645,862,815
f,862,585,470,795,471,537,476,407,1717,887,870
f,860,577,475,779,468,523,476,410,1633,893,747
f,837,573,476,747,439,503,456,376,1586,848,764
f,912,612,505,831,495,560,502,423,1747,926,843
f,859,605,493,762,469,524,471,390,1617,873,779
f,819,559,462,728,434,494,441,389,1548,828,690
f,875,574,480,783,471,534,465,416,1657,885,819
f,837,622,514,759,458,523,470,396,1653,858,785
f,873,570,477,778,478,524,478,413,1654,882,846
