index,height,upper_leg
41475,154.7,34.2
41477,167.1,32.4
41479,154.4,33.3
41481,182.7,43.6
41482,173.8,43.5
41483,173.8,36.5
41485,157.9,34.3
41486,166.2,35
41487,169.2,40
41489,158.4,37
41490,159.8,40.5
41491,146.1,33.7
41492,168.7,34
41493,163.4,37.1
41494,166.4,39
41495,184.8,41
41496,154.6,33.5
41498,165.8,39.4
41500,156.5,38.7
41501,177.9,41
41502,168.2,40.4
41503,173.9,40.1
41504,178.5,41.7
41509,171.9,36.5
41510,171.8,37.6
41511,173.6,38.5
41513,137.9,29.2
41514,171.7,35.7
41518,178.7,38.4
41519,184.5,44.2
41522,174.9,44.2
41523,181.7,44
41524,157.1,36.1
41525,170.6,39.9
41526,175.4,37.9
41527,176,43.7
41528,166.5,35.9
41530,167.1,39.1
41531,161.7,35.8
41532,138.3,30.9
41534,165.7,43.3
41536,157.8,32
41537,162.2,39.8
41539,179.8,41.7
41540,172.8,40.5
41541,175.3,38.6
41542,163.9,35.6
41545,151.4,35.9
41546,165.9,33
41547,188.9,45.5
41548,164,37
41549,175.3,42.7
41550,172.5,40.7
41552,142.1,29
41553,153.3,40
41555,161.7,34.5
41556,178.3,39.8
41558,156.5,42.8
41559,144.7,33.2
41562,181.4,39.8
41563,160.5,35.4
41567,176,39.8
41568,135.6,35.3
41570,178.1,38.8
41572,173.1,40.2
41573,162.1,38.3
41574,176.3,41.1
41575,169,35.5
41576,167.2,39.3
41578,159.5,37
41579,166,35.5
41581,166,37.4
41583,153.4,30
41584,163.6,39.7
41587,171.1,39.6
41588,146.8,33.2
41589,165.7,38
41590,183.9,46.5
41591,131.5,30.7
41594,180.2,44.8
41595,151.6,33.5
41597,169,42.8
41598,164.9,40
41599,169.9,41.1
41600,167.6,40.8
41605,167.3,36
41607,164.1,37.5
41608,158.8,36.2
41609,159.5,39.7
41610,153.4,35.5
41612,154.4,28.6
41613,185.7,41.3
41615,166.9,40
41616,152.3,33.5
41617,142.5,34
41618,160.8,39
41619,167.9,39.5
41620,139.9,32
41622,158.4,35.2
41623,171.2,44.3
41624,157.3,32
41625,157.8,34
41626,174.7,40.4
41627,151.8,34.2
41628,173.4,40.4
41629,152.4,33.5
41630,174.9,40.9
41633,169.4,41.2
41635,169.3,40.2
41636,159.9,29.9
41637,167.8,38.6
41638,129.1,30
41639,171.1,41.3
41640,161.7,38.1
41641,159,35
41642,156.6,32.3
41643,157.7,35.4
41644,168,45.1
41648,162.3,35
41650,148.3,38.4
41652,155.6,35.7
41654,149.5,34.1
41656,157.8,35.4
41657,132,31.2
41659,159.6,37.9
41660,134.4,32.3
41663,153.8,37
41664,175.8,40.6
41666,172.1,42.1
41668,179,45.4
41670,173.5,41
41671,172.9,39.7
41672,162.3,35.6
41674,179.8,48
41675,158.2,32.6
41676,165.3,38
41677,182.6,36.1
41678,164.7,41.1
41679,180,42.9
41680,169.2,34.4
41681,168.1,40.3
41682,167.8,35.2
41683,180.6,39.5
41684,142.6,32.3
41685,170.8,40
41687,173.4,38.6
41688,176.3,42
41689,158,39.4
41690,176.4,39.8
41691,176.3,35
41693,190.4,44.1
41694,154.5,32.8
41696,172.2,41.5
41697,155.4,36.5
41698,171.8,38.7
41699,192.4,46.2
41700,173.4,40
41701,160.2,39.8
41702,165.7,41.7
41704,176.3,39.5
41705,161.3,35.9
41706,130.5,29.1
41708,165.6,37
41710,170.7,38.5
41711,167.4,39
41713,173.9,39.9
41715,156.5,33
41717,156.4,35.2
41718,155.3,36.6
41719,172.5,47
41720,138.7,35.5
41721,178.2,44
41722,166.9,40.3
41724,189.3,45.8
41725,164,33.1
41726,124,27.7
41727,160.5,38.6
41728,167.9,39.4
41729,178.8,41
41730,162.8,36.5
41732,155.5,38
41733,172,35.9
41734,159,31.4
41735,171.6,39.2
41736,181.6,42.5
41737,175.3,42
41739,184.5,47.6
41740,175.2,38.6
41743,157.3,37.4
41747,159.3,39.8
41749,158,37.8
41750,173.7,42
41751,168.1,37.5
41752,137.1,32
41753,179.8,43
41754,172.9,37.5
41755,173.9,34.8
41756,158,35.1
41757,185.5,48.7
41758,160.8,38
41759,182.7,41.8
41760,163.2,37.8
41761,154.9,37.2
41762,173.3,37.3
41764,169.9,42
41767,151.8,35
41768,150.9,29.3
41771,152.6,34.2
41772,169.2,41.7
41774,145.1,36
41775,156.5,37.8
41776,158.9,36.2
41777,146.8,36.1
41778,169,41
41779,169.7,41.6
41780,170,37.5
41782,174.1,35.5
41783,154.6,34.2
41785,171.3,39.3
41788,162.5,37.7
41789,155.2,38.9
41791,168,36.4
41792,150,34.4
41793,191.2,40.2
41794,178.3,45.1
41796,156.6,35.2
41797,178.1,38.5
41798,177.8,41.8
41801,161.5,39.5
41802,155.4,35.1
41804,163.8,38.3
41805,129.9,31.3
41806,182.5,43.4
41807,133.6,28.6
41808,161.3,38.1
41809,185.9,40
41811,162.9,38
41812,167.1,42.8
41813,165.7,36
41814,170.8,40.2
41815,179.1,41.2
41818,156.1,36.8
41819,186.9,48.2
41820,149.4,28.8
41821,150.1,31.5
41822,184.5,46.6
41823,161,37.3
41824,154.2,36.4
41825,158.2,32.9
41826,153.8,35.4
41827,172.8,41.4
41828,154.3,33.1
41830,145.3,34.8
41831,141.2,33
41834,190.4,41.6
41837,170.9,40.2
41838,160.6,34.6
41839,154.4,36
41840,165.4,32.5
41842,171.3,39.3
41843,163,36.2
41844,159.3,34
41845,136.5,29.7
41846,166.2,38.7
41847,131.8,31.9
41850,165.9,39
41852,183.3,44.9
41853,187.4,42.6
41854,121.6,26.4
41855,173.7,43.1
41857,171.4,37.7
41858,176.8,40
41861,161.9,40.6
41863,165.4,38
41864,182.4,43
41865,184.5,39.5
41866,167,41.1
41867,178.1,36.8
41868,169.9,40.5
41869,184.8,42.6
41871,171.8,38.4
41873,160.6,35.8
41874,130.9,30.6
41875,164.1,33.8
41877,164.1,39.2
41878,160.8,36.4
41879,164.8,36.5
41881,168.2,38.2
41882,148.7,31.9
41883,147.7,37.7
41886,140.3,33.3
41887,164.5,37
41888,170.1,42.2
41889,166.4,40.7
41890,162.6,37
41892,151,33.5
41893,178.7,42
41895,159.3,34.3
41896,173.6,38.3
41897,177.7,39.1
41898,161.3,33.6
41899,173.4,45
41901,166.8,37.3
41902,163.9,46
41903,187.2,48.1
41904,168,35.6
41907,151.5,36.3
41908,145.9,25
41909,166.9,37.5
41910,164.8,35.7
41911,165.8,38.4
41912,150.1,35.5
41914,179.4,42.6
41915,165.5,36.9
41917,129,28.3
41918,163.2,39.8
41919,151.5,33.5
41921,170,40
41922,163.9,39.5
41923,155.1,36.6
41924,182,40.2
41925,180,40.3
41926,176.7,42.5
41927,171.5,39.3
41929,165.4,33
41930,150.1,33
41931,171.6,42.6
41934,183.1,47.7
41935,145,35
41936,157.9,37.9
41938,152.5,37
41940,156.2,38.2
41941,164.5,40.2
41942,173.1,38.3
41943,148.7,35.4
41944,161.1,37.8
41946,155.8,32.4
41947,185.6,44.8
41948,183.6,45.1
41949,165.9,41.2
41951,162.2,40.5
41952,165.2,39.1
41954,137.5,32.7
41955,170.5,42.2
41958,165.6,37.3
41959,178.4,45.6
41960,152.5,33.6
41961,170.3,38
41962,187,44.2
41963,161.9,36.4
41964,178.5,38.2
41965,158.1,38.6
41966,170.1,36.3
41968,163.6,36.5
41969,159.9,38.5
41971,170.6,40.7
41972,167.4,36.8
41973,170.6,33.4
41977,154.1,38
41981,160.4,34.6
41982,171.6,43.5
41983,164.2,39
41984,149,37
41985,175.8,41.2
41987,146.1,37.8
41988,160.5,35.2
41989,169.1,42.8
41990,160.4,35
41991,164.6,36.4
41993,160.4,36.8
41994,157.9,39.1
41997,160.7,40
41998,174.8,42.3
42000,173.8,37.6
42001,187,43.5
42002,176,38
42003,172.5,34.6
42004,163,32.8
42006,138.1,33.7
42009,163.1,38.7
42010,171.7,39.8
42011,163.1,44
42015,159.4,36.6
42016,182.6,43.9
42018,165.7,39.8
42021,167.8,39
42022,161.4,38.5
42023,155.4,32.3
42024,178.8,41
42025,159.3,37.1
42026,164.1,34.3
42027,143.7,35
42028,181.4,44.8
42029,148.6,34
42030,161.8,38.9
42033,177.1,37.2
42034,176.1,39.3
42035,162.2,34.3
42040,172.5,41.8
42041,164.5,38.2
42042,155.4,37
42043,165.4,35.9
42044,153.5,39.7
42045,185.3,42.4
42047,166.2,39.2
42048,164.3,34.4
42049,177.3,41.6
42050,167.7,36.5
42051,167.9,40.3
42052,155.4,28
42053,161.4,38.4
42055,164.8,38.5
42056,163.7,32.7
42057,180.4,38
42058,175.8,41
42059,184.2,41.2
42061,167.9,45.4
42062,171.7,46.2
42064,162.6,38.2
42065,150.9,33.2
42066,156.6,37.8
42068,166.2,39.7
42069,162.1,37.8
42071,173,41.1
42072,179.4,45
42073,167.7,37.5
42074,179,43.7
42075,172.7,39.6
42077,180.2,38.9
42078,150.4,37.1
42079,175.8,41.4
42081,176.8,42
42082,177,43
42083,167.9,45.5
42085,165.7,35.1
42087,171.4,45.1
42089,147.1,34.4
42091,172.1,43.4
42094,152.6,27.5
42096,165.4,39.4
42097,176,41.9
42098,174.8,42.5
42099,179.4,34.1
42100,176.3,42.6
42101,173.5,42
42102,161.4,37.6
42103,165.7,34.6
42104,160.5,37.3
42105,151.4,39.7
42106,176.9,41.9
